タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner,partner_link,partner_priority
FIVE O DANCE STUDIO 二子玉川,〒157-0077 東京都世田谷区鎌田２丁目２５-９,,https://fiveoentinc.com/,050-3134-4277,"2024-02-29 木曜日 9時00分～21時00分
2024-03-01 金曜日 9時00分～21時00分
2024-03-02 土曜日 9時00分～21時00分
2024-03-03 日曜日 9時00分～21時00分
2024-03-04 月曜日 9時00分～21時00分
2024-03-05 火曜日 9時00分～21時00分
2024-03-06 水曜日 9時00分～21時00分
",1.0,139.6107267,35.6207786,東京,二子玉川駅,1762.0,二子玉川駅|二子新地駅|久地駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h|feature:midnight,0,,0
FLAG POINT,〒171-0043 東京都豊島区２１ 豊島区要町1丁目21-10 三井ビル2F,,http://www.flag-point.com/,03-5926-7813,"2024-02-29 木曜日 9時00分～0時00分
2024-03-01 金曜日 9時00分～0時00分
2024-03-02 土曜日 9時00分～0時00分
2024-03-03 日曜日 9時00分～0時00分
2024-03-04 月曜日 9時00分～0時00分
2024-03-05 火曜日 9時00分～0時00分
2024-03-06 水曜日 9時00分～0時00分
",1.0,139.6960357,35.7340637,東京,要町駅,283.0,要町駅|千川駅|椎名町駅|東長崎駅|池袋駅|落合南長崎駅|大山駅|目白駅|小竹向原駅,0.0,豊島区,池袋,池袋|目白|大塚|巣鴨,area:池袋|feature:24h|feature:midnight,0,,0
FREEDA LIFESTYLE＋,〒106-0044 東京都港区東麻布１丁目２６-８ プライム東麻布 3F,,http://www.freeda.jp/,03-6807-4322,"2024-02-29 木曜日 10時00分～16時00分
2024-03-01 金曜日 10時00分～16時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～16時00分
2024-03-05 火曜日 10時00分～16時00分
2024-03-06 水曜日 10時00分～16時00分
",1.0,139.7447085,35.6552837,東京,麻布十番駅,921.0,麻布十番駅|浜松町駅|田町駅,3.0,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:麻布十番駅|station:浜松町駅|station:田町駅|feature:24h|feature:midnight,0,,0
Funky Gang Dance Studio,〒194-0022 東京都町田市森野１丁目９-１７ B1,,https://www.funky-gang.com/,042-851-7225,LGBTQ フレンドリー,1.0,139.4416702,35.5454109,東京,町田駅,566.0,町田駅,1.0,町田市,町田,町田,area:町田|station:町田駅,0,,0
FunnyTips（ファニーティップス）,〒101-0021 東京都千代田区外神田５丁目５-７ パンセ秋葉原 B1F,,https://infofunnytips.wixsite.com/funnytips,03-6684-9954,"2024-02-29 木曜日 12時00分～19時00分
2024-03-01 金曜日 12時00分～19時00分
2024-03-02 土曜日 12時00分～19時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 12時00分～19時00分
2024-03-05 火曜日 12時00分～19時00分
2024-03-06 水曜日 12時00分～19時00分
",1.0,139.7727759,35.7042504,東京,秋葉原駅,633.0,秋葉原駅|上野駅,2.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|station:上野駅|feature:24h|feature:midnight,0,,0
バレエ・ダンススタジオ Lino,〒168-0082 東京都杉並区久我山５丁目７-１３ 地下1階 メリディアン,,https://lino.releve.fun/,,"2024-02-29 木曜日 15時30分～19時00分
2024-03-01 金曜日 15時30分～18時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 10時00分～11時00分
2024-03-06 水曜日 定休日
",1.0,139.6003698,35.6876877,東京,久我山駅,78.0,久我山駅|富士見ヶ丘駅|三鷹台駅|高井戸駅|西荻窪駅|井の頭公園駅,0.0,杉並区,高円寺,高円寺,area:高円寺|feature:24h|feature:midnight,0,,0
レンタルスタジオ西荻リノ,〒167-0042 東京都杉並区西荻北２丁目３-９ グランピア西荻窪 Ｂ101,,https://nishiogi-lino.linovery.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.6008399,35.7047149,東京,西荻窪駅,156.0,西荻窪駅|荻窪駅|三鷹台駅|井の頭公園駅|久我山駅|吉祥寺駅,0.0,杉並区,高円寺,高円寺,area:高円寺|feature:24h|feature:midnight,0,,0
スタジオLINOVA（リノ・バ）,〒167-0054 東京都杉並区松庵３丁目１-６ 松庵ユニオンビル B1,,,,"2024-02-29 木曜日 7時00分～22時00分
2024-03-01 金曜日 7時00分～22時00分
2024-03-02 土曜日 7時00分～22時00分
2024-03-03 日曜日 7時00分～22時00分
2024-03-04 月曜日 7時00分～22時00分
2024-03-05 火曜日 7時00分～22時00分
2024-03-06 水曜日 7時00分～22時00分
",1.0,139.5978069,35.6990625,東京,西荻窪駅,552.0,西荻窪駅|三鷹台駅|久我山駅|井の頭公園駅|吉祥寺駅|富士見ヶ丘駅,0.0,杉並区,高円寺,高円寺,area:高円寺|feature:24h|feature:midnight,0,,0
Gloire Ballet Studio,〒182-0022 東京都調布市国領町４丁目9-４ 九曜国領駅前ビル 4F,,https://gloire-ballet-studio.com/,042-444-7473,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1.0,139.5577753,35.6491398,東京,調布駅,1180.0,調布駅,1.0,調布市,調布,調布,area:調布|station:調布駅|feature:24h|feature:midnight,0,,0
ＧＯＣＯＯスタジオ,〒174-0041 東京都板橋区舟渡２丁目２０-８,,http://stunt-japan.com/,03-5392-4059,,1.0,139.688777,35.795858,東京,浮間舟渡駅,569.0,浮間舟渡駅|蓮根駅|戸田公園駅|西台駅|北赤羽駅,0.0,板橋区,成増,成増,area:成増,0,,0
STYLEY チアダンス・新体操・アクロバットスクール 板橋本蓮沼校,〒174-0052 東京都板橋区蓮沼町８-３,,https://styley-f.com/,,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 16時00分～19時00分
2024-03-01 金曜日 13時00分～18時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 13時00分～18時00分
2024-03-06 水曜日 13時00分～18時00分
",1.0,139.7032058,35.768052,東京,本蓮沼駅,84.0,本蓮沼駅|板橋本町駅|志村坂上駅|中板橋駅|ときわ台駅|志村三丁目駅|板橋区役所前駅|十条駅|赤羽駅,0.0,板橋区,成増,成増,area:成増|feature:24h|feature:midnight,0,,0
レンタルスタジオOLI,〒166-0004 東京都杉並区阿佐谷南１丁目１５-１４ サンフェリーペ 101号室,,https://www.rentalstudio-oli.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.6368919,35.7001676,東京,南阿佐ケ谷駅,144.0,南阿佐ケ谷駅|阿佐ヶ谷駅|新高円寺駅|高円寺駅|荻窪駅|東高円寺駅,0.0,杉並区,高円寺,高円寺,area:高円寺|feature:24h|feature:midnight,0,,0
スタジオジパング 久我山スタジオSTANDARD,〒168-0082 東京都杉並区久我山５丁目７-１３ メリディアン B1,,https://studiozipang.com/kugayama-standard/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.6004166,35.6876645,東京,久我山駅,83.0,久我山駅|富士見ヶ丘駅|三鷹台駅|高井戸駅|西荻窪駅|井の頭公園駅,0.0,杉並区,高円寺,高円寺,area:高円寺|feature:24h|feature:midnight,0,,0
三鷹RI劇場(旧名三鷹RIスタジオ),〒181-0013 東京都三鷹市下連雀３丁目 榎本ビル 地下1階,,http://seigetsu-entertainment.com/ristudio/,,,1.0,139.5621947,35.7002431,東京,三鷹駅,235.0,三鷹駅,1.0,三鷹市,三鷹,三鷹,area:三鷹|station:三鷹駅,0,,0
三鷹レンタルスタジオRin,〒181-0013 東京都三鷹市下連雀３丁目２３-１２ アージェントビル 402,,https://dance-studio-rin.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.5616177,35.700708,東京,三鷹駅,165.0,三鷹駅,1.0,三鷹市,三鷹,三鷹,area:三鷹|station:三鷹駅|feature:24h|feature:midnight,0,,0
Fali studio ファリ レンタルスペース,〒182-0012 東京都調布市深大寺東町６丁目28-２,,https://upnow.jp/jindaijispace,,,1.0,139.5576282,35.6755508,東京,なし,,,0.0,調布市,調布,調布,area:調布,0,,0
Gravisダンススクール 株式会社Gravis,〒195-0053 東京都町田市能ヶ谷１丁目７-６ 鶴川鈴木ビル 6F,,https://gravis-dance.co.jp/,050-3131-1065,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 9時00分～20時00分
2024-03-03 日曜日 9時00分～20時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 9時30分～22時00分
",1.0,139.4822934,35.5840651,東京,鶴川駅,133.0,鶴川駅|柿生駅,0.0,町田市,町田,町田,area:町田|feature:24h|feature:midnight,0,,0
grow dance studio,〒522-0043 滋賀県彦根市小泉町６２０-３,,http://www.grow-dancestudio.com/,0749-20-9600,"2024-02-29 木曜日 17時00分～22時00分
2024-03-01 金曜日 17時00分～22時00分
2024-03-02 土曜日 11時00分～22時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 17時00分～22時00分
2024-03-05 火曜日 17時00分～22時00分
2024-03-06 水曜日 17時00分～22時00分
",1.0,136.2462586,35.2483971,東京,南彦根駅,300.0,南彦根駅|彦根口駅|高宮駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
H?lau Hula Coco,〒104-0045 東京都中央区築地１丁目１２-１５ 三ツ田ビル 4F,,http://www.hula-coco.jp/,03-6228-4696,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～23時00分
2024-03-03 日曜日 10時00分～23時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1.0,139.77014,35.6683643,東京,有楽町駅,967.0,有楽町駅|新橋駅,2.0,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:有楽町駅|station:新橋駅|feature:24h|feature:midnight,0,,0
HARA Studio,〒162-0042 東京都新宿区早稲田町７４-１４ 地下1F S.T ビル,,https://harastudio.wixsite.com/website,090-9001-1935,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1.0,139.7220866,35.7058356,東京,早稲田駅,80.0,早稲田駅|牛込柳町駅|若松河田駅|面影橋駅|江戸川橋駅|神楽坂駅|西早稲田駅|牛込神楽坂駅|学習院下駅|曙橋駅,0.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h|feature:midnight,0,,0
レンタルスタジオ、ダンススタジオ アレイティ,〒272-0132 千葉県市川市湊新田２丁目６-６ モロマンションB A棟 106号,,https://studio-areiti.amebaownd.com/,,"2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分
",1.0,139.9121259,35.6789472,東京,行徳駅,453.0,行徳駅|南行徳駅|市川塩浜駅|妙典駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
Hidemi Dancing Vida,〒141-0021 東京都品川区上大崎２丁目１０-３２ フラワープラザビル 202,,https://www.yh-dancev.com/,03-6277-4775,"2024-02-29 木曜日 13時00分～22時00分
2024-03-01 金曜日 13時00分～22時00分
2024-03-02 土曜日 13時00分～22時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 13時00分～22時00分
2024-03-05 火曜日 13時00分～22時00分
2024-03-06 水曜日 13時00分～22時00分
",1.0,139.7172857,35.6353306,東京,目黒駅,198.0,目黒駅|五反田駅,2.0,品川区,品川,品川|五反田|大井町|目黒,area:品川|station:目黒駅|station:五反田駅|feature:24h|feature:midnight,0,,0
HIRAYAMA studio立石,〒124-0012 東京都葛飾区立石１丁目２２-７,,https://hirayamastudio.com/tateishi.html,090-5419-4965,,1.0,139.8496914,35.7384007,東京,京成立石駅,96.0,京成立石駅|青砥駅|お花茶屋駅|四ツ木駅,0.0,葛飾区,新小岩,新小岩,area:新小岩,0,,0
HMVP大手町スタジオ,〒101-0047 東京都千代田区内神田１丁目７-１１ B2F,,http://hmvp.net/,03-5283-1475,,1.0,139.7665458,35.6901685,東京,東京駅,995.0,東京駅|秋葉原駅,2.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:東京駅|station:秋葉原駅,0,,0
HOSHINOダンシングアカデミー,〒354-0021 埼玉県富士見市鶴馬２丁目１６-２２,,https://dancing-academy.com/,049-255-2855,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～23時00分
2024-03-03 日曜日 10時00分～23時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1.0,139.5434458,35.8457208,東京,鶴瀬駅,354.0,鶴瀬駅|みずほ台駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
HuE スタジオ,〒676-0078 兵庫県高砂市伊保２丁目５-１８ ロイヤルコーポ 伊保 103,,,070-8492-1112,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,134.7885621,34.768873,東京,伊保駅,239.0,伊保駅|荒井駅|山陽曽根駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
Hula Studio Huali,〒984-0838 宮城県仙台市若林区上飯田１丁目１９-５０,,http://huali.venus.bindcloud.jp/,090-6686-5815,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 10時00分～21時00分
2024-03-01 金曜日 10時00分～16時00分
2024-03-02 土曜日 10時00分～18時00分
2024-03-03 日曜日 10時00分～21時00分
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 定休日
",1.0,140.9177314,38.2216025,東京,なし,,,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
HYPERMIX門前仲町,〒135-0048 東京都江東区門前仲町１丁目１３-１２,,https://hypermix.jp/,03-5875-8320,LGBTQ フレンドリー,1.0,139.7951522,35.6734003,東京,門前仲町駅,160.0,門前仲町駅|越中島駅|清澄白河駅|木場駅|水天宮前駅|月島駅|茅場町駅|森下駅|八丁堀駅|浜町駅,0.0,江東区,豊洲,豊洲,area:豊洲,0,,0
I.G.Oスタジオ,"4F, ３丁目-５-１ 西日暮里 荒川区 東京都 116-0013",,http://igomusic.jp/,03-5848-4032,"2024-02-29 木曜日 9時00分～23時30分
2024-03-01 金曜日 9時00分～23時30分
2024-03-02 土曜日 9時00分～23時30分
2024-03-03 日曜日 9時00分～23時30分
2024-03-04 月曜日 9時00分～23時30分
2024-03-05 火曜日 9時00分～23時30分
2024-03-06 水曜日 9時00分～23時30分
",1.0,139.7664826,35.731965,東京,日暮里駅,619.0,日暮里駅,1.0,荒川区,日暮里,日暮里,area:日暮里|station:日暮里駅|feature:24h|feature:midnight,0,,0
ICHIBANGAI Dance Studio,〒160-0022 東京都新宿区新宿１丁目３ 12・B1,,http://www.studio1b.jp/,03-6273-1759,,1.0,139.7121969,35.6878166,東京,代々木駅,1059.0,代々木駅|新宿駅,2.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:代々木駅|station:新宿駅,0,,0
"in the house / Nishiwaseda ""Street Dance Park""",〒169-0075 東京都新宿区高田馬場１丁目１-１３ ONE ROOF FLAT NISHIWASEDA B1,,http://inthehouse.tokyo/,050-3558-1384,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業",1.0,139.709087,35.7093024,東京,高田馬場駅,583.0,高田馬場駅,1.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:高田馬場駅|feature:24h|feature:midnight,0,,0
ダンススクエア 葛西スタジオ,〒134-0084 東京都江戸川区東葛西６丁目２-１０ 森ビル 7階,,http://d-s-u-s.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.8737867,35.6627632,東京,葛西駅,134.0,葛西駅|西葛西駅|浦安駅,0.0,江戸川区,西葛西,西葛西,area:西葛西|feature:24h|feature:midnight,0,,0
スタジオジパング 錦糸町スタジオSTANDARD,〒130-0012 東京都墨田区太平３丁目１４-１０ スズキビルディング 1階,,https://studiozipang.com/,,"2024-02-29 木曜日 6時00分～23時00分
2024-03-01 金曜日 6時00分～23時00分
2024-03-02 土曜日 6時00分～23時00分
2024-03-03 日曜日 6時00分～23時00分
2024-03-04 月曜日 6時00分～23時00分
2024-03-05 火曜日 6時00分～23時00分
2024-03-06 水曜日 6時00分～23時00分
",1.0,139.8135479,35.7015972,東京,錦糸町駅,547.0,錦糸町駅|押上駅,2.0,墨田区,錦糸町,錦糸町,area:錦糸町|station:錦糸町駅|station:押上駅|feature:24h|feature:midnight,0,,0
Infinity Gym チアダンス・チアリーディング,〒157-0074 東京都世田谷区大蔵１丁目２-２７,,https://infinitygymsetagaya.com/,080-3317-1985,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 9時00分～21時00分
2024-03-01 金曜日 9時00分～21時00分
2024-03-02 土曜日 9時00分～21時00分
2024-03-03 日曜日 9時00分～21時00分
2024-03-04 月曜日 9時00分～21時00分
2024-03-05 火曜日 9時00分～21時00分
2024-03-06 水曜日 9時00分～21時00分
",1.0,139.621826,35.6357397,東京,千歳船橋駅,1321.0,千歳船橋駅|祖師ヶ谷大蔵駅|用賀駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h|feature:midnight,0,,0
Irodori麻布十番,〒106-0045 東京都港区麻布十番１丁目５-１ ＹＫビル 4F,,https://spaceirodori.com/,050-3628-5392,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7326156,35.6577365,東京,麻布十番駅,386.0,麻布十番駅|六本木駅,2.0,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:麻布十番駅|station:六本木駅|feature:24h|feature:midnight,0,,0
IS DANCE STUDIO,"ＩＳビル 2F, ４-１１ 東田町 川崎区 川崎市 神奈川県 210-0005",,https://is-dance.net/,044-211-2167,"LGBTQ フレンドリー2024-02-29 木曜日 9時00分～0時00分
2024-03-01 金曜日 9時00分～0時00分
2024-03-02 土曜日 9時00分～0時00分
2024-03-03 日曜日 9時00分～0時00分
2024-03-04 月曜日 9時00分～0時00分
2024-03-05 火曜日 9時00分～0時00分
2024-03-06 水曜日 9時00分～0時00分
",1.0,139.7029243,35.5291779,東京,京急川崎駅,463.0,京急川崎駅|川崎駅|港町駅|八丁畷駅|川崎新町駅|六郷土手駅|小田栄駅|尻手駅|鈴木町駅|鶴見市場駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
中村隆彦ダンススタジオ浅草千束,〒111-0031 東京都台東区５ 台東区 千束 4 5 4 提柳泉ビルB1F,,http://senzok.ntdance.site/,,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1.0,139.7974964,35.7236871,東京,三ノ輪駅,862.0,三ノ輪駅|南千住駅|入谷駅|荒川一中前駅|浅草駅|荒川区役所前駅|田原町駅|鶯谷駅|本所吾妻橋駅|曳舟駅,0.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|feature:24h|feature:midnight,0,,0
J.K.キューブ101スタジオエチュード,〒182-0007 東京都調布市菊野台１丁目２０-５,,https://www.studioasp.com/mdata/detail.aspx?i=13031,090-4969-7531,,1.0,139.5673827,35.6557965,東京,柴崎駅,190.0,柴崎駅|つつじヶ丘駅|国領駅|布田駅|仙川駅,0.0,調布市,調布,調布,area:調布,0,,0
J's,〒158-0097 東京都世田谷区用賀３丁目２５-９,,http://www.js-dance-studio.com/,03-3700-9728,"2024-02-29 木曜日 15時45分～20時55分
2024-03-01 金曜日 定休日
2024-03-02 土曜日 9時00分～20時10分
2024-03-03 日曜日 9時00分～17時30分
2024-03-04 月曜日 17時15分～22時00分
2024-03-05 火曜日 9時30分～21時00分
2024-03-06 水曜日 16時15分～20時30分
",1.0,139.6353717,35.6305214,東京,用賀駅,485.0,用賀駅|桜新町駅|上町駅|世田谷駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h|feature:midnight,0,,0
J’Z STUDIO 千歳烏山店,〒157-0062 東京都世田谷区南烏山６丁目６-６?２ サンマルシェビルB1F,,http://www.jz-studio.jp/,03-6909-1181,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～23時00分
2024-03-03 日曜日 10時00分～23時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1.0,139.599892,35.667844,東京,千歳烏山駅,121.0,千歳烏山駅|芦花公園駅|八幡山駅|仙川駅|富士見ヶ丘駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h|feature:midnight,0,,0
ミライスタジオ上野,〒110-0003 東京都台東区根岸１丁目５-１３,,https://studio-mirai55.com/,,"LGBTQ フレンドリー2024-02-29 木曜日 6時00分～0時00分
2024-03-01 金曜日 6時00分～0時00分
2024-03-02 土曜日 6時00分～0時00分
2024-03-03 日曜日 6時00分～0時00分
2024-03-04 月曜日 6時00分～0時00分
2024-03-05 火曜日 6時00分～0時00分
2024-03-06 水曜日 6時00分～0時00分
",1.0,139.7791786,35.7225143,東京,日暮里駅,943.0,日暮里駅|上野駅,2.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:日暮里駅|station:上野駅|feature:24h|feature:midnight,0,,0
ハセガワ　ダンスアカデミー,〒111-0051 東京都台東区蔵前４丁目３３,,https://hasegawadance.com/,,,1.0,139.7900634,35.7060751,東京,蔵前駅,303.0,蔵前駅|浅草駅,2.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:蔵前駅|station:浅草駅,0,,0
Jelly Jam Music&Dance Studio 府中,〒183-0045 東京都府中市美好町３丁目１０-４２,,https://jellyjamstudio.com/,042-368-3133,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 10時30分～20時30分
2024-03-01 金曜日 10時30分～20時30分
2024-03-02 土曜日 10時30分～20時30分
2024-03-03 日曜日 10時30分～20時30分
2024-03-04 月曜日 10時30分～20時30分
2024-03-05 火曜日 10時30分～20時30分
2024-03-06 水曜日 10時30分～20時30分
",1.0,139.4665541,35.6700295,東京,府中駅,969.0,府中駅,1.0,府中市,府中,府中,area:府中|station:府中駅|feature:24h|feature:midnight,0,,0
トゥモローダンスクラブ｜蔵前教室,〒111-0051 東京都台東区蔵前４丁目３３ エニックス蔵前 2F,,,,"LGBTQ フレンドリー2024-02-29 木曜日 12時00分～21時00分
2024-03-01 金曜日 12時00分～21時00分
2024-03-02 土曜日 12時00分～21時00分
2024-03-03 日曜日 12時00分～21時00分
2024-03-04 月曜日 12時00分～21時00分
2024-03-05 火曜日 12時00分～21時00分
2024-03-06 水曜日 12時00分～21時00分
",1.0,139.7899899,35.7059513,東京,蔵前駅,299.0,蔵前駅|浅草駅,2.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:蔵前駅|station:浅草駅|feature:24h|feature:midnight,0,,0
JK Studio 赤羽橋,〒106-0044 東京都港区東麻布１丁目１８-７ リヴェールハヤシ B1,,https://www.instabase.jp/space/8187721432,050-5372-4665,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7427208,35.6557315,東京,麻布十番駅,749.0,麻布十番駅|田町駅,2.0,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:麻布十番駅|station:田町駅|feature:24h|feature:midnight,0,,0
JOINT STUDO Harajuku,〒150-0001 東京都渋谷区神宮前４丁目２９-９ Ondenビル B1,,https://joint-harajuku.com/,03-6455-5356,"LGBTQ フレンドリー2024-02-29 木曜日 6時00分～23時30分
2024-03-01 金曜日 6時00分～23時30分
2024-03-02 土曜日 6時00分～23時30分
2024-03-03 日曜日 6時00分～23時30分
2024-03-04 月曜日 6時00分～23時30分
2024-03-05 火曜日 6時00分～23時30分
2024-03-06 水曜日 6時00分～23時30分
",1.0,139.7065645,35.66844,東京,原宿駅,400.0,原宿駅|表参道駅|外苑前駅,3.0,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:原宿駅|station:表参道駅|station:外苑前駅|feature:24h|feature:midnight,0,,0
